ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
BNK,BNK | Banana Punch Rosin Badder,PERCENTAGE,71.15,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,50,7
Decibel,Decibel - BANANA PUNCH - Loud Live Rosin Cartridge - - H,N/A,0,N/A,0,Chalice Farms (Downtown),0,Concentrate,rosin,.5g,50,2
Decibel,Decibel - GMO - Loud Live Rosin Cartridge - - I,N/A,0,N/A,0,Chalice Farms (Downtown),0,Concentrate,rosin,.5g,50,2
Decibel,Decibel - GMO - Loud Live Rosin Cartridge - - I,N/A,0,N/A,0,Chalice Farms (Powell),1,Concentrate,rosin,.5g,50,4
Decibel,Decibel | GMO | 90µ-120µ | Live Rosin | 1g,PERCENTAGE,65.7,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,2
Decibel,Decibel | Mr. Clean | 90µ-120µ | Live Rosin | 1g,PERCENTAGE,63.4,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,7
Decibel,Decibel | Sour Diesel | 90µ | Live Rosin | 1g,PERCENTAGE,66.48,N/A,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,50,2
Decibel Dabs,Key Lime Pie Live Rosin 90µ,PERCENTAGE,64.07,PERCENTAGE,0,Somewhere PDX,0,Concentrate,rosin,1g,50,3
Decibel Farms,Banana Punch Live Rosin | 1g,PERCENTAGE,62.8,PERCENTAGE,0,Somewhere PDX,0,Concentrate,rosin,1g,50,2
Decibel Farms,Choco Bonkers Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Truly Pure,1,Concentrate,rosin,1g,50,4
Decibel Farms,Crescendo Live Rosin | 1g,PERCENTAGE,58.57,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,7
Decibel Farms,Decibel | Donkey Butter | 90µ | Live Rosin | 1g,PERCENTAGE,63.3,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,16
