ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Highland Provisions,Extract - Highland Provisions - Chem Z (Fresh Press),PERCENTAGE,71.25,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,41.67,1
Highland Provisions,Paradise Circus Premium Live Rosin Jam | 1g,PERCENTAGE,71.6,PERCENTAGE,0.1,VIBE - Amberlight,0,Concentrate,rosin,1g,41.67,2
PDX Dabs,Papaya Octane | Rosin,PERCENTAGE,69.1,PERCENTAGE,0.24,Mongoose Cannabis Co.,1,Concentrate,rosin,1g,41.67,3
PDX Dabs,Papaya Punch - - Rosin,PERCENTAGE,69.7,N/A,0,Mongoose Cannabis Co.,1,Concentrate,rosin,1g,41.67,4
PDX Dabs,Roasted Garlic Margy | Rosin,PERCENTAGE,69.8,PERCENTAGE,0.3,Mongoose Cannabis Co.,1,Concentrate,rosin,1g,41.67,13
,Decibel Wedding Crasher Fresh Press Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,42,4
Permaculture Solutions,Alien Rock Candy Duct Tape 90u Hash Rosin - Permaculture Solutions,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,42,1
Funk Extracts,GMO Live Rosin (FUNK),PERCENTAGE,71.63,N/A,0,Archive,0,Concentrate,rosin,1g,42.5,10
Highland,Highland Provisions - Sundae Driver - Live Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,42.5,2
Highland Provisions,Paradise Circus Solventless Live Rosin Fresh Press,PERCENTAGE,66.39,N/A,0,Archive,0,Concentrate,rosin,1g,42.5,6
Highland Provisions,Sour Garlic Cookies 1G Live Fresh Press Rosin,N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,42.5,5
,Happy Cabbage |  Ice Cream Cake | Rosin | 0.5g,PERCENTAGE,80.6,PERCENTAGE,0.43,Oregons Finest (Convention Center),1,Concentrate,rosin,.5g,43.33,8
Decibel,Decibel | Banana Punch | Live Rosin | 0.5g,PERCENTAGE,64.4,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,5
Decibel,Decibel | Bonkers | Live Rosin | 0.5g,PERCENTAGE,63.7,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,11
Decibel,Decibel | GMO | Live Rosin | 0.5g,PERCENTAGE,74.7,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,5
Decibel,Decibel | Strawberry Banana | Live Rosin | 0.5g,PERCENTAGE,71.7,PERCENTAGE,1.6,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,2
Highland Provisions,Highland Provisions | Apple MAC | Live Rosin | 0.5g,PERCENTAGE,74.21,N/A,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,10
Decibel Farms,Decibel | Cookies and Cream Live Rosin | 1g,PERCENTAGE,61.6,PERCENTAGE,0,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9999998
Decibel Farms,Papaya Punch Live Rosin | 1g,PERCENTAGE,60.9,PERCENTAGE,0,Electric Lettuce - Sellwood,0,Concentrate,rosin,1g,44,3
Resin Ranchers,Resin Ranchers Rainbow Sherbet WPFF Hash Rosin,PERCENTAGE,64.55,N/A,0,Electric Lettuce - Weilder,0,Concentrate,rosin,1g,44,2
Resin Ranchers,Resin Ranchers Runtz WPFF Hash Rosin,PERCENTAGE,69.64,PERCENTAGE,0.17,Electric Lettuce - Sellwood,0,Concentrate,rosin,1g,44,2
Resin Ranchers,Resin Ranchers Runtz WPFF Hash Rosin,PERCENTAGE,69.64,PERCENTAGE,0.17,Farma,1,Concentrate,rosin,1g,44,3
Resin Ranchers,Resin Ranchers | GMO Hash Rosin | 1g,PERCENTAGE,70.25,PERCENTAGE,0,Electric Lettuce - Old Town,0,Concentrate,rosin,1g,44,4
Resin Ranchers,Resin Ranchers | GMO Hash Rosin | 1g,PERCENTAGE,70.43,PERCENTAGE,0.16,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9999
Resin Ranchers,Resin Ranchers | Motorbreath Hash Rosin | 1g,PERCENTAGE,71.75,PERCENTAGE,0.15,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9999
Resin Ranchers,Resin Ranchers | Rainbow Sherbet Hash Rosin | 1g,PERCENTAGE,64.55,PERCENTAGE,0,Electric Lettuce - Old Town,0,Concentrate,rosin,1g,44,2
Resin Ranchers,Resin Ranchers | Runtz Hash Rosin | 1g,PERCENTAGE,69.64,PERCENTAGE,0.17,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9998
Happy Cabbage Farms,Happy Cabbage - Banana Bliss - Hash Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,44.17,3
Happy Cabbage Farms,Happy Cabbage - Banana Candy Cakes - Hash Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,44.17,3
